"set_ID","P"
1,2.69048836452603
2,2.46097369732947
3,1.21792852409329
4,2.25203574714627
5,2.21119167573091
6,1.10928077980977
7,1.98075261185455
8,3.18008457719891
9,2.77830424119497
10,2.61070765071765
11,1.45045084362211
12,2.05100574029837
13,2.02254546846821
14,2.22411976722073
15,2.68726797588564
16,1.05935557173757
17,1.95508805085142
18,3.66757556228881
19,1.81367799902496
20,2.629559114812
21,3.04302990471289
22,2.45249447987107
23,3.01397090815682
24,2.80751549772609
25,2.73535176366363
26,3.47306455169367
27,1.71887593096957
28,2.19445543766607
29,3.09188854189527
30,1.42979015318617
31,2.00469230267751
32,2.50606666259287
33,1.67903297934102
34,1.69084035084789
35,1.73013698735796
36,1.82251373586858
37,1.91612858708771
38,2.34405065849384
39,2.51363463011305
40,2.5654083256862
41,2.78376184763975
42,2.44550571812199
43,3.18031744031455
44,0.79388502408373
45,1.46165202732369
46,3.08144577208541
47,2.5809830529646
48,2.62529534771066
49,1.75905472051121
50,2.35896075651221
51,2.12500626319702
52,2.32086631298267
53,2.33081944052524
54,1.35002772387572
55,2.45791174485707
56,1.2472782909084
57,3.37721367039898
58,1.89479875484524
59,2.21496725220476
60,2.15097842491352
61,2.03722946370363
62,2.65008008176951
63,2.53256620055526
64,3.00880866492142
65,3.04578682032104
66,2.09011669316564
67,1.98958194191384
68,2.26419888656541
69,1.66017292024149
70,0.87648524942041
71,2.64223339704138
72,3.90560487642165
73,1.60217128940562
74,2.79383316006576
75,2.77910734867784
76,1.5883900170124
77,2.49891054855558
78,3.14927154189391
79,2.17504743437612
80,2.39754159933006
81,2.2970246290576
82,2.03330975215256
83,2.55859096601522
84,1.85327130880063
85,2.45423975107471
86,2.0704842738662
87,1.53886818614883
88,1.9986349235111
89,2.52751045818268
90,1.50275670052522
91,1.61067280783366
92,1.91996475821298
93,2.13514219532144
94,2.73734382602786
95,1.35555183536841
96,2.71813307791601
97,0.781115357340744
98,1.23606305509036
99,2.4648113802079
100,3.01426028864543
101,2.79467103649991
102,2.12252891185995
103,2.47244907013847
104,2.54252732869558
105,2.96228230388778
106,2.33231846353146
107,2.84643748351423
108,3.46003476237638
109,2.56523844307878
110,1.66244574573936
111,2.70082201332897
112,1.87857311512577
113,3.42525004778666
114,2.33963840371359
115,1.94010890361047
116,2.091767206231
117,2.2275986548841
118,2.74623812995084
119,2.89146504963453
120,3.01266756769272
121,2.21928076696753
122,2.95940279035818
123,2.64190422103321
124,2.47898107715231
125,1.01978344484252
126,2.75405118731791
127,2.13746665253209
128,2.24685724883197
129,2.96939644139958
130,2.35057992897368
131,1.297253249037
132,1.98729284556917
133,2.27237842687313
134,2.59461086431471
135,3.72777229694115
136,1.51489638133186
137,3.31598667222306
138,1.78686180226866
139,0.974448962875252
140,3.30434972729261
141,1.81338029272098
142,2.48322347217019
143,3.39346764858128
144,3.3535288819916
145,3.41389131206701
146,2.66994163244
147,3.31676181079195
148,1.82301646204463
149,0.841724836838407
150,3.19535036971741
151,1.75365298024111
152,1.76664471307645
153,2.07019200060468
154,3.00172183031202
155,2.38403416831783
156,2.49586863056934
157,1.90982479942887
158,2.55982695026047
159,1.62215935437775
160,2.56131543495166
161,1.56953114680416
162,3.03007285091973
163,3.17667554628781
164,0.048924780666284
165,2.5906923161081
166,2.09380023989209
167,1.85869608081622
168,2.6371952055792
169,1.94187746166297
170,2.04464718244577
171,2.45069170122927
172,2.25565974899715
173,2.32470234816352
174,0.822030132081221
175,2.81616307701916
176,3.06260620522732
177,2.27477192648005
178,2.08528587371144
179,1.99770241468494
180,2.61953485117147
181,3.03990467157951
182,1.42327903310774
183,2.54399197019768
184,2.90244993209062
185,2.46521385642814
186,2.43804184027184
187,1.52977838418383
188,2.24214849420372
189,1.77705975892174
190,2.64797362432999
191,2.15201813226986
192,2.5266448752035
193,2.23530662868042
194,2.9231921807328
195,3.21186819213544
196,0.913223992177008
197,1.88361475190154
198,3.17050239201163
199,2.72571157189062
200,3.12478593029888
201,0.77314007362884
202,1.38907205383471
203,2.48527165170742
204,1.92358010362058
205,2.58894288048517
206,2.63196023303215
207,2.84900737309055
208,2.71421239262727
209,1.15386199054847
210,2.33857258221148
211,2.21816991858598
212,2.13169862608946
213,1.44461803869591
214,2.65962787420665
215,2.99069460152763
216,1.13663650592812
217,2.60758159681703
218,2.80346769293904
219,3.16008054551412
220,3.19374191409113
221,2.69986761937266
222,1.87160946720015
223,1.52982851968355
224,1.8093472476163
225,2.55372496755569
226,2.25951148670367
227,2.79063376549566
228,2.7994042194918
229,1.68631186747417
230,3.00673600006304
231,0.942352588124614
232,2.36379047769136
233,2.15195314996947
234,2.81421160670569
235,2.7001561371549
236,3.21618653780435
237,2.42813957449644
238,2.00989120130678
239,2.07568025626152
240,2.84409716963827
241,2.84902066806328
242,2.64999340717628
243,1.26146056605318
244,3.09130949438994
245,2.42544778672846
246,0.979133608882259
247,2.37119453247857
248,3.24594409796329
249,2.76295911162793
250,1.96369785162677
